Model,Accuracy,Precision,Recall,F1 Score,ROC AUC
Random Forest,0.9983296213808464,0.9981330221703617,0.9983660130718954,0.9982495040261408,0.9999712938838226
Linear SVC,0.994988864142539,0.9941711354628119,0.9953314659197012,0.994750962323574,0.9997824797153386
Logistic Regession,0.9893095768374165,0.9849467345993516,0.9927637721755369,0.9888398046965822,0.9993259654798887
Naive Bayes,0.9391982182628063,0.9379100281162137,0.9344070961718021,0.936155285313377,0.9839761216809266
